id,first_name,height_feet,height_inches,last_name,position,team/id,team/abbreviation,team/city,team/conference,team/division,team/full_name,team/name,weight_pounds,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,positions/0,positions/1
334,Dejounte,6,5,Murray,G,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs,170,53,334,2020,31:37,6.55,14.4,1,3.04,1.6,2,0.72,6.23,6.94,5.25,1.6,0.11,1.72,2.04,15.7,0.455,0.329,0.802,PG,SG
472,Russell,6,3,Westbrook,G,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards,200,49,472,2020,35:24,8.35,18.92,1.29,4.12,3.96,6.35,1.65,9.29,10.94,10.82,1.27,0.37,4.94,2.78,21.94,0.441,0.312,0.624,PG,
185,Draymond,6,7,Green,F,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,230,49,185,2020,30:45,2.51,6.06,0.55,2.06,1.04,1.35,0.9,5.67,6.57,8.59,1.63,0.8,2.94,3.1,6.61,0.414,0.267,0.773,PF,C
12,Kyle,6,9,Anderson,F,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies,230,53,12,2020,27:18,4.43,9.6,1.32,3.85,2,2.57,0.77,5.21,5.98,3.66,1.26,0.79,1.26,1.72,12.19,0.462,0.343,0.779,SF,PF
409,Dennis,6,1,Schroder,G,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers,172,53,409,2020,31:51,5.34,12.36,1.11,3.3,3.64,4.3,0.47,3.02,3.49,5.45,1.13,0.25,2.75,2.6,15.43,0.432,0.337,0.846,PG,
475,Andrew,6,8,Wiggins,F-G,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors,194,57,475,2020,32:42,6.88,14.42,2.02,5.19,2.39,3.42,0.96,3.75,4.72,2.32,0.95,0.95,1.82,2.19,18.16,0.477,0.389,0.697,SG,SF
172,Paul,6,9,George,F,13,LAC,LA,West,Pacific,LA Clippers,Clippers,220,44,172,2020,33:33,8.39,17.48,3.3,7.55,3.55,4,0.91,5.36,6.27,5.48,1.18,0.48,3.23,2.39,23.61,0.48,0.437,0.886,SF,SG
246,Nikola,7,0,Jokic,C,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets,250,56,246,2020,35:12,10.23,18.05,1.39,3.3,4.2,4.91,2.93,8.05,10.98,8.8,1.46,0.64,3.05,2.68,26.05,0.567,0.422,0.855,C,
486,Christian,6,10,Wood,F,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets,214,34,486,2020,31:55,8.18,15.41,1.82,4.74,2.94,4.59,1.74,7.65,9.38,1.59,0.85,1.24,1.85,2.06,21.12,0.531,0.385,0.641,PF,C
416,Pascal,6,9,Siakam,F,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors,230,47,416,2020,34:49,7.32,16.17,1.17,4.15,4.55,5.43,1.68,5.36,7.04,4.55,1.06,0.72,2.11,3.21,20.36,0.453,0.282,0.839,PF,C
